num;question;a;b;c;d;solution;area_code;area;theme;image;Tags
199;Mit der Abk\xfcrzung \x84Stasi\x93 meinte man in der DDR ...;das Parlament.;das Ministerium f\xfcr Staatssicherheit.;eine regierende Partei.;das Ministerium f\xfcr Volksbildung.;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;difficult
200;Welches heutige deutsche Bundesland geh\xf6rte fr\xfcher zum Gebiet der DDR?;Hessen;Schleswig-Holstein;Mecklenburg-Vorpommern;Saarland;c;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
201;Welche der folgenden Auflistungen enth\xe4lt nur Bundesl\xe4nder, die zum Gebiet der fr\xfcheren DDR geh\xf6rten?;Niedersachsen, Nordrhein-Westfalen, Hessen, Schleswig-Holstein, Brandenburg;Mecklenburg-Vorpommern, Brandenburg, Sachsen, Sachsen-Anhalt, Th\xfcringen;Bayern, Baden-W\xfcrttemberg, Rheinland-Pfalz, Th\xfcringen, Sachsen;Sachsen, Th\xfcringen, Hessen, Niedersachsen, Brandenburg;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
202;Zu wem geh\xf6rte die DDR im \x84Kalten Krieg\x93?;zu den Westm\xe4chten;zum Warschauer Pakt;zur NATO;zu den blockfreien Staaten;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
203;Wie hie\xdf das Wirtschaftssystem der DDR?;Marktwirtschaft;Planwirtschaft;Angebot und Nachfrage;Kapitalismus;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;difficult
204;Wie wurden die Bundesrepublik Deutschland und die DDR zu einem Staat?;Die Bundesrepublik Deutschland hat die DDR besetzt.;Die heutigen f\xfcnf \xf6stlichen Bundesl\xe4nder sind der Bundesrepublik Deutschland beigetreten.;Die westlichen Bundesl\xe4nder sind der DDR beigetreten.;Die DDR hat die Bundesrepublik Deutschland besetzt.;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
205;Mit dem Beitritt der DDR zur Bundesrepublik Deutschland geh\xf6ren die neuen Bundesl\xe4nder nun auch ...;zur Europ\xe4ischen Union.;zum Warschauer Pakt.;zur OPEC.;zur Europ\xe4ischen Verteidigungsgemeinschaft.;a;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;
206;Was bedeutete im Jahr 1989 in Deutschland das Wort \x84Montagsdemonstration\x93?;In der Bundesrepublik waren Demonstrationen nur am Montag erlaubt.;Montags waren Demonstrationen gegen das DDR-Regime.;Am ersten Montag im Monat trafen sich in der Bundesrepublik Deutschland Demonstranten.;Montags demonstrierte man in der DDR gegen den Westen.;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date
207;In welchem Milit\xe4rb\xfcndnis war die DDR Mitglied?;in der NATO;im Rheinbund;im Warschauer Pakt;im Europab\xfcndnis;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
208;Was war die \x84Stasi\x93?;der Geheimdienst im \x84Dritten Reich\x93;eine ber\xfchmte deutsche Gedenkst\xe4tte;der Geheimdienst der DDR;ein deutscher Sportverein w\xe4hrend des Zweiten Weltkrieges;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
209;Welches war das Wappen der Deutschen Demokratischen Republik?;1;2;3;4;d;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;frage_209;image
210;Was ereignete sich am 17. Juni 1953 in der DDR?;der feierliche Beitritt zum Warschauer Pakt;landesweite Streiks und ein Volksaufstand;der 1. SED-Parteitag;der erste Besuch Fidel Castros;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;difficult
211;Welcher Politiker steht f\xfcr die \x84Ostvertr\xe4ge\x93?;Helmut Kohl;Willy Brandt;Michail Gorbatschow;Ludwig Erhard;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;person
212;Wie hei\xdft Deutschland mit vollem Namen?;Bundesstaat Deutschland;Bundesl\xe4nder Deutschland;Bundesrepublik Deutschland;Bundesbezirk Deutschland;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;
213;Wie viele Einwohner hat Deutschland?;70 Millionen;78 Millionen;83 Millionen;90 Millionen;c;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
214;Welche Farben hat die deutsche Flagge?;schwarz-rot-gold;rot-wei\xdf-schwarz;schwarz-rot-gr\xfcn;schwarz-gelb-rot;a;politik;Politik in der Demokratie;Staatssymbole;-;
215;Wer wird als \x84Kanzler der Deutschen Einheit\x93 bezeichnet?;Gerhard Schr\xf6der;Helmut Kohl;Konrad Adenauer;Helmut Schmidt;b;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;person
216;Welches Symbol ist im Plenarsaal des Deutschen Bundestages zu sehen?;die Fahne der Stadt Berlin;der Bundesadler;der Reichsadler;die Reichskrone;b;politik;Politik in der Demokratie;Staatssymbole;frage_216;image
217;In welchem Zeitraum gab es die Deutsche Demokratische Republik (DDR)?;1919 bis 1927;1933 bis 1945;1949 bis 1990;1945 bis 1961;c;geschichte;Geschichte und Verantwortung;Wichtige Stationen nach 1945;-;date
218;Wie viele Bundesl\xe4nder kamen bei der Wiedervereinigung 1990 zur Bundesrepublik Deutschland hinzu?;4;5;6;7;b;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date
219;Die Bundesrepublik Deutschland hat die Grenzen von heute seit ...;1933.;1949.;1971.;1990.;d;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date
220;Der 27. Januar ist in Deutschland ein offizieller Gedenktag. Woran erinnert dieser Tag?;an das Ende des Zweiten Weltkrieges;an die Verabschiedung des Grundgesetzes;an die Wiedervereinigung Deutschlands;an die Opfer des Nationalsozialismus;d;geschichte;Geschichte und Verantwortung;Der Nationalsozialismus und seine Folgen;-;date,difficult
221;Deutschland ist Mitglied des Schengener Abkommens. Was bedeutet das?;Deutsche k\xf6nnen in viele L\xe4nder Europas ohne Passkontrolle reisen.;Alle Menschen k\xf6nnen ohne Personenkontrolle in Deutschland einreisen.;Deutsche k\xf6nnen ohne Passkontrolle in jedes Land reisen.;Deutsche k\xf6nnen in jedem Land mit dem Euro bezahlen.;a;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
222;Welches Land ist ein Nachbarland von Deutschland?;Ungarn;Portugal;Spanien;Schweiz;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
223;Welches Land ist ein Nachbarland von Deutschland?;Rum\xe4nien;Bulgarien;Polen;Griechenland;c;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
224;Was bedeutet die Abk\xfcrzung EU?;Europ\xe4ische Unternehmen;Europ\xe4ische Union;Einheitliche Union;Euro Union;b;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
225;In welchem anderen Land gibt es eine gro\xdfe deutschsprachige Bev\xf6lkerung?;Tschechien;Norwegen;Spanien;\xd6sterreich;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
226;Welche ist die Flagge der Europ\xe4ischen Union?;2;1;4;3;a;geschichte;Geschichte und Verantwortung;Deutschland in Europa;frage_226;image
227;Welches Land ist ein Nachbarland von Deutschland?;Finnland;D\xe4nemark;Norwegen;Schweden;b;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
228;Wie wird der Beitritt der DDR zur Bundesrepublik Deutschland im Jahr 1990 allgemein genannt?;NATO-Osterweiterung;EU-Osterweiterung;Europ\xe4ische Gemeinschaft;Deutsche Wiedervereinigung;d;geschichte;Geschichte und Verantwortung;Wiedervereinigung;-;date,difficult
229;Welches Land ist ein Nachbarland von Deutschland?;Spanien;Bulgarien;Norwegen;Luxemburg;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
230;Das Europ\xe4ische Parlament wird regelm\xe4\xdfig gew\xe4hlt, n\xe4mlich alle ...;5 Jahre.;6 Jahre.;7 Jahre.;8 Jahre.;a;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
231;Was bedeutet der Begriff \x84europ\xe4ische Integration\x93?;Damit sind amerikanische Einwanderer in Europa gemeint.;Der Begriff meint den Einwanderungsstopp nach Europa.;Damit sind europ\xe4ische Auswanderer in den USA gemeint.;Der Begriff meint den Zusammenschluss europ\xe4ischer Staaten zur EU.;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
232;Wer wird bei der Europawahl gew\xe4hlt?;die Europ\xe4ische Kommission;die L\xe4nder, die in die EU eintreten d\xfcrfen;die europ\xe4ische Verfassung;die Abgeordneten des Europ\xe4ischen Parlaments;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;difficult
233;Welches Land ist ein Nachbarland von Deutschland?;Tschechien;Bulgarien;Griechenland;Portugal;a;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
234;Wo ist der Sitz des Europ\xe4ischen Parlaments?;London;Paris;Berlin;Stra\xdfburg;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
235;Der franz\xf6sische Staatspr\xe4sident Fran\xe7ois Mitterrand und der deutsche Bundeskanzler Helmut Kohl gedenken in Verdun gemeinsam der Toten beider Weltkriege. Welches Ziel der Europ\xe4ischen Union wird bei diesem Treffen deutlich?;Freundschaft zwischen England und Deutschland;Reisefreiheit in alle L\xe4nder der EU;Frieden und Sicherheit in den L\xe4ndern der EU;Einheitliche Feiertage in den L\xe4ndern der EU;c;geschichte;Geschichte und Verantwortung;Deutschland in Europa;frage_235;image,person
236;Wie viele Mitgliedstaaten hat die EU heute?;21;23;25;27;d;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
237;2007 wurde das 50-j\xe4hrige Jubil\xe4um der \x84R\xf6mischen Vertr\xe4ge\x93 gefeiert. Was war der Inhalt der Vertr\xe4ge?;Beitritt Deutschlands zur NATO;Gr\xfcndung der Europ\xe4ischen Wirtschaftsgemeinschaft (EWG);Verpflichtung Deutschlands zu Reparationsleistungen;Festlegung der Oder-Nei\xdfe-Linie als Ostgrenze;b;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;date
238;An welchen Orten arbeitet das Europ\xe4ische Parlament?;Paris, London und Den Haag;Stra\xdfburg, Luxemburg und Br\xfcssel;Rom, Bern und Wien;Bonn, Z\xfcrich und Mailand;b;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
239;Durch welche Vertr\xe4ge schloss sich die Bundesrepublik Deutschland mit anderen Staaten zur Europ\xe4ischen Wirtschaftsgemeinschaft zusammen?;durch die \x84Hamburger Vertr\xe4ge\x93;durch die \x84R\xf6mischen Vertr\xe4ge\x93;durch die \x84Pariser Vertr\xe4ge\x93;durch die \x84Londoner Vertr\xe4ge\x93;b;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;
240;Seit wann bezahlt man in Deutschland mit dem Euro in bar?;1995;1998;2002;2005;c;geschichte;Geschichte und Verantwortung;Deutschland in Europa;-;date
241;Frau Seger bekommt ein Kind. Was muss sie tun, um Elterngeld zu erhalten?;Sie muss an ihre Krankenkasse schreiben.;Sie muss nichts tun, denn sie bekommt automatisch Elterngeld.;Sie muss einen Antrag bei der Elterngeldstelle stellen.;Sie muss das Arbeitsamt um Erlaubnis bitten.;c;politik;Politik in der Demokratie;Recht und Alltag;-;
242;Wer entscheidet, ob ein Kind in Deutschland in den Kindergarten geht?;der Staat;die Bundesl\xe4nder;die Eltern / die Erziehungsberechtigten;die Schulen;c;politik;Politik in der Demokratie;Recht und Alltag;-;
243;Maik und Sybille wollen mit Freunden an ihrem deutschen Wohnort eine Demonstration auf der Stra\xdfe abhalten. Was m\xfcssen sie vorher tun?;Sie m\xfcssen nichts tun. Man darf in Deutschland jederzeit \xfcberall demonstrieren.;Sie m\xfcssen die Demonstration anmelden.;Sie k\xf6nnen gar nichts tun, denn Demonstrationen sind in Deutschland grunds\xe4tzlich verboten.;Maik und Sybille m\xfcssen einen neuen Verein gr\xfcnden, weil nur Vereine demonstrieren d\xfcrfen.;b;politik;Politik in der Demokratie;Recht und Alltag;-;
244;Welchen Schulabschluss braucht man normalerweise, um an einer Universit\xe4t in Deutschland ein Studium zu beginnen?;das Abitur;ein Diplom;die Prokura;eine Gesellenpr\xfcfung;a;gesellschaft;Mensch und Gesellschaft;Bildung;-;
245;Wer darf in Deutschland nicht als Paar zusammenleben?;Hans (20 Jahre) und Marie (19 Jahre);Tom (20 Jahre) und Klaus (45 Jahre);Sofie (35 Jahre) und Lisa (40 Jahre);Anne (13 Jahre) und Tim (25 Jahre);d;politik;Politik in der Demokratie;Recht und Alltag;-;
246;Ab welchem Alter ist man in Deutschland vollj\xe4hrig?;16;18;19;21;b;politik;Politik in der Demokratie;Recht und Alltag;-;
247;Eine Frau ist schwanger. Sie ist kurz vor und nach der Geburt ihres Kindes vom Gesetz besonders besch\xfctzt. Wie hei\xdft dieser Schutz?;Elternzeit;Geburtsvorbereitung;Mutterschutz;Wochenbett;c;politik;Politik in der Demokratie;Recht und Alltag;-;
248;Die Erziehung der Kinder ist in Deutschland vor allem Aufgabe ...;des Staates.;der Eltern.;der Gro\xdfeltern.;der Schulen.;b;politik;Politik in der Demokratie;Pflichten;-;
249;Wer ist in Deutschland haupts\xe4chlich verantwortlich f\xfcr die Kindererziehung?;der Staat;die Eltern;die Verwandten;die Schulen;b;politik;Politik in der Demokratie;Pflichten;-;
250;In Deutschland hat man die besten Chancen auf einen gut bezahlten Arbeitsplatz, wenn man ...;katholisch ist.;gut ausgebildet ist.;eine Frau ist.;Mitglied einer Partei ist.;b;gesellschaft;Mensch und Gesellschaft;Bildung;-;
251;Wenn man in Deutschland ein Kind schl\xe4gt, ...;geht das niemanden etwas an.;geht das nur die Familie etwas an.;kann man daf\xfcr nicht bestraft werden.;kann man daf\xfcr bestraft werden.;d;politik;Politik in der Demokratie;Recht und Alltag;-;
252;In Deutschland ...;darf man zur gleichen Zeit nur mit einem Partner / einer Partnerin verheiratet sein.;kann man mehrere Ehepartner / Ehepartnerinnen gleichzeitig haben.;darf man nicht wieder heiraten, wenn man einmal verheiratet war.;darf eine Frau nicht wieder heiraten, wenn ihr Mann gestorben ist.;a;politik;Politik in der Demokratie;Recht und Alltag;-;
253;Wo m\xfcssen Sie sich anmelden, wenn Sie in Deutschland umziehen?;beim Einwohnermeldeamt;beim Standesamt;beim Ordnungsamt;beim Gewerbeamt;a;politik;Politik in der Demokratie;Kommune;-;
254;In Deutschland d\xfcrfen Ehepaare sich scheiden lassen. Meistens m\xfcssen sie dazu das \x84Trennungsjahr\x93 einhalten. Was bedeutet das?;Der Scheidungsprozess dauert ein Jahr.;Mann und Frau sind ein Jahr verheiratet, dann ist die Scheidung m\xf6glich.;Das Besuchsrecht f\xfcr die Kinder gilt ein Jahr.;Mann und Frau f\xfchren mindestens ein Jahr getrennt ihr eigenes Leben. Danach ist die Scheidung m\xf6glich.;d;politik;Politik in der Demokratie;Recht und Alltag;-;
255;Bei Erziehungsproblemen k\xf6nnen Eltern in Deutschland Hilfe erhalten vom ...;Ordnungsamt.;Schulamt.;Jugendamt.;Gesundheitsamt.;c;politik;Politik in der Demokratie;Kommune;-;
256;Ein Ehepaar m\xf6chte in Deutschland ein Restaurant er\xf6ffnen. Was braucht es dazu unbedingt?;eine Erlaubnis der Polizei;eine Genehmigung einer Partei;eine Genehmigung des Einwohnermeldeamts;eine Gastst\xe4ttenerlaubnis von der zust\xe4ndigen Beh\xf6rde;d;politik;Politik in der Demokratie;Kommune;-;
257;Eine erwachsene Frau m\xf6chte in Deutschland das Abitur nachholen. Das kann sie an ...;einer Hochschule.;einem Abendgymnasium.;einer Hauptschule.;einer Privatuniversit\xe4t.;b;gesellschaft;Mensch und Gesellschaft;Bildung;-;
258;Was darf das Jugendamt in Deutschland?;Es entscheidet, welche Schule das Kind besucht.;Es kann ein Kind, das geschlagen wird oder hungern muss, aus der Familie nehmen.;Es bezahlt das Kindergeld an die Eltern.;Es kontrolliert, ob das Kind einen Kindergarten besucht.;b;politik;Politik in der Demokratie;Recht und Alltag;-;
259;Das Berufsinformationszentrum BIZ bei der Bundesagentur f\xfcr Arbeit in Deutschland hilft bei der ...;Rentenberechnung.;Lehrstellensuche.;Steuererkl\xe4rung.;Krankenversicherung.;b;politik;Politik in der Demokratie;Kommune;-;
260;In Deutschland hat ein Kind in der Schule ...;Recht auf unbegrenzte Freizeit.;Wahlfreiheit f\xfcr alle F\xe4cher.;Anspruch auf Schulgeld.;Anwesenheitspflicht.;d;politik;Politik in der Demokratie;Pflichten;-;
261;Ein Mann m\xf6chte mit 30 Jahren in Deutschland sein Abitur nachholen. Wo kann er das tun? An ...;einer Hochschule;einem Abendgymnasium;einer Hauptschule;einer Privatuniversit\xe4t;b;gesellschaft;Mensch und Gesellschaft;Bildung;-;
262;Was bedeutet in Deutschland der Grundsatz der Gleichbehandlung?;Niemand darf z.B. wegen einer Behinderung benachteiligt werden.;Man darf andere Personen benachteiligen, wenn ausreichende pers\xf6nliche Gr\xfcnde hierf\xfcr vorliegen.;Niemand darf gegen Personen klagen, wenn sie benachteiligt wurden.;Es ist f\xfcr alle Gesetz, benachteiligten Gruppen j\xe4hrlich Geld zu spenden.;a;politik;Politik in der Demokratie;Grundrechte;-;
263;In Deutschland sind Jugendliche ab 14 Jahren strafm\xfcndig. Das bedeutet: Jugendliche, die 14 Jahre und \xe4lter sind und gegen Strafgesetze versto\xdfen, ...;werden bestraft.;werden wie Erwachsene behandelt.;teilen die Strafe mit ihren Eltern.;werden nicht bestraft.;a;politik;Politik in der Demokratie;Recht und Alltag;-;
264;Zu welchem Fest tragen Menschen in Deutschland bunte Kost\xfcme und Masken?;am Rosenmontag;am Maifeiertag;beim Oktoberfest;an Pfingsten;a;gesellschaft;Mensch und Gesellschaft;Interkulturelles Zusammenleben;-;
265;Wohin muss man in Deutschland zuerst gehen, wenn man heiraten m\xf6chte?;zum Einwohnermeldeamt;zum Ordnungsamt;zur Agentur f\xfcr Arbeit;zum Standesamt;d;politik;Politik in der Demokratie;Kommune;-;
266;Wann beginnt die gesetzliche Nachtruhe in Deutschland?;wenn die Sonne untergeht;um 22 Uhr;wenn die Nachbarn schlafen gehen;um 0 Uhr, Mitternacht;b;politik;Politik in der Demokratie;Recht und Alltag;-;
267;Eine junge Frau in Deutschland, 22 Jahre alt, lebt mit ihrem Freund zusammen. Die Eltern der Frau finden das nicht gut, weil ihnen der Freund nicht gef\xe4llt. Was k\xf6nnen die Eltern tun?;Sie m\xfcssen die Entscheidung der vollj\xe4hrigen Tochter respektieren.;Sie haben das Recht, die Tochter in die elterliche Wohnung zur\xfcckzuholen.;Sie k\xf6nnen zur Polizei gehen und die Tochter anzeigen.;Sie suchen einen anderen Mann f\xfcr die Tochter.;a;politik;Politik in der Demokratie;Recht und Alltag;-;
268;Eine junge Frau will den F\xfchrerschein machen. Sie hat Angst vor der Pr\xfcfung, weil ihre Muttersprache nicht Deutsch ist. Was ist richtig?;Sie muss mindestens zehn Jahre in Deutschland leben, bevor sie den F\xfchrerschein machen kann.;Sie kann die Theorie-Pr\xfcfung vielleicht in ihrer Muttersprache machen. Es gibt mehr als zehn Sprachen zur Auswahl.;Wenn sie kein Deutsch kann, darf sie keinen F\xfchrerschein haben.;Sie muss den F\xfchrerschein in dem Land machen, in dem man ihre Sprache spricht.;b;politik;Politik in der Demokratie;Recht und Alltag;-;
269;In Deutschland haben Kinder ab dem Alter von drei Jahren bis zur Ersteinschulung einen Anspruch auf ...;monatliches Taschengeld.;einen Kindergartenplatz.;einen Platz in einem Sportverein.;einen Ferienpass.;b;gesellschaft;Mensch und Gesellschaft;Bildung;-;
270;Die Volkshochschule in Deutschland ist eine Einrichtung ...;f\xfcr den Religionsunterricht.;nur f\xfcr Jugendliche.;zur Weiterbildung.;nur f\xfcr Rentner und Rentnerinnen.;c;gesellschaft;Mensch und Gesellschaft;Bildung;-;
271;Was ist in Deutschland ein Brauch zu Weihnachten?;bunte Eier verstecken;einen Tannenbaum schm\xfccken;sich mit Masken und Kost\xfcmen verkleiden;K\xfcrbisse vor die T\xfcr stellen;b;gesellschaft;Mensch und Gesellschaft;Interkulturelles Zusammenleben;-;
272;Welche Lebensform ist in Deutschland nicht erlaubt?;Mann und Frau sind geschieden und leben mit neuen Partnern zusammen.;Zwei Frauen leben zusammen.;Ein alleinerziehender Vater lebt mit seinen zwei Kindern zusammen.;Ein Mann ist mit zwei Frauen zur selben Zeit verheiratet.;d;politik;Politik in der Demokratie;Recht und Alltag;-;
273;Bei Erziehungsproblemen gehen Sie in Deutschland ...;zum Arzt / zur \xc4rztin.;zum Gesundheitsamt.;zum Einwohnermeldeamt.;zum Jugendamt.;d;politik;Politik in der Demokratie;Kommune;-;
274;Sie haben in Deutschland absichtlich einen Brief ge\xf6ffnet, der an eine andere Person adressiert ist. Was haben Sie nicht beachtet?;das Schweigerecht;das Briefgeheimnis;die Schweigepflicht;die Meinungsfreiheit;b;politik;Politik in der Demokratie;Grundrechte;-;
275;Was braucht man in Deutschland f\xfcr eine Ehescheidung?;die Einwilligung der Eltern;ein Attest eines Arztes / einer \xc4rztin;die Einwilligung der Kinder;die Unterst\xfctzung eines Anwalts / einer Anw\xe4ltin;d;politik;Politik in der Demokratie;Recht und Alltag;-;
276;Was sollten Sie tun, wenn Sie von Ihrem Ansprechpartner / Ihrer Ansprechpartnerin in einer deutschen Beh\xf6rde schlecht behandelt werden?;Ich kann nichts tun.;Ich muss mir diese Behandlung gefallen lassen.;Ich drohe der Person.;Ich kann mich beim Beh\xf6rdenleiter / bei der Beh\xf6rdenleiterin beschweren.;d;politik;Politik in der Demokratie;Recht und Alltag;-;
277;Eine Frau, die ein zweij\xe4hriges Kind hat, bewirbt sich in Deutschland um eine Stelle. Was ist ein Beispiel f\xfcr Diskriminierung? Sie bekommt die Stelle nur deshalb nicht, weil sie ...;kein Englisch spricht.;zu hohe Gehaltsvorstellungen hat.;keine Erfahrungen in diesem Beruf hat.;Mutter ist.;d;politik;Politik in der Demokratie;Grundrechte;-;
278;Ein Mann im Rollstuhl hat sich auf eine Stelle als Buchhalter beworben. Was ist ein Beispiel f\xfcr Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil er ...;im Rollstuhl sitzt.;keine Erfahrung hat.;zu hohe Gehaltsvorstellungen hat.;kein Englisch spricht.;a;politik;Politik in der Demokratie;Grundrechte;-;
279;In den meisten Mietsh\xe4usern in Deutschland gibt es eine \x84Hausordnung\x93. Was steht in einer solchen \x84Hausordnung\x93? Sie nennt ...;Regeln f\xfcr die Benutzung \xf6ffentlicher Verkehrsmittel.;alle Mieter und Mieterinnen im Haus.;Regeln, an die sich alle Bewohner und Bewohnerinnen halten m\xfcssen.;die Adresse des n\xe4chsten Ordnungsamtes.;c;politik;Politik in der Demokratie;Recht und Alltag;-;
280;Wenn Sie sich in Deutschland gegen einen falschen Steuerbescheid wehren wollen, m\xfcssen Sie ...;nichts machen.;den Bescheid wegwerfen.;Einspruch einlegen.;warten, bis ein anderer Bescheid kommt.;c;politik;Politik in der Demokratie;Recht und Alltag;-;
281;Zwei Freunde wollen in ein \xf6ffentliches Schwimmbad in Deutschland. Beide haben eine dunkle Hautfarbe und werden deshalb nicht hineingelassen. Welches Recht wird in dieser Situation verletzt? Das Recht auf ...;Meinungsfreiheit.;Gleichbehandlung.;Versammlungsfreiheit.;Freiz\xfcgigkeit.;b;politik;Politik in der Demokratie;Grundrechte;-;
282;Welches Ehrenamt m\xfcssen deutsche Staatsb\xfcrger / Staatsb\xfcrgerinnen \xfcbernehmen, wenn sie dazu aufgefordert werden?;Vereinstrainer / Vereinstrainerin;Bibliotheksaufsicht;Wahlhelfer / Wahlhelferin;Lehrer / Lehrerin;c;politik;Politik in der Demokratie;Pflichten;-;
283;Was tun Sie, wenn Sie eine falsche Rechnung von einer deutschen Beh\xf6rde bekommen?;Ich lasse die Rechnung liegen.;Ich lege Widerspruch bei der Beh\xf6rde ein.;Ich schicke die Rechnung an die Beh\xf6rde zur\xfcck.;Ich gehe mit der Rechnung zum Finanzamt.;b;politik;Politik in der Demokratie;Recht und Alltag;-;
284;Was man f\xfcr die Arbeit k\xf6nnen muss, \xe4ndert sich in der Zukunft sehr schnell. Was kann man tun?;Es ist egal, was man lernt.;Kinder lernen in der Schule alles, was im Beruf wichtig ist. Nach der Schule muss man nicht weiter lernen.;Erwachsene m\xfcssen auch nach der Ausbildung immer weiter lernen.;Alle m\xfcssen fr\xfcher aufh\xf6ren zu arbeiten, weil sich alles \xe4ndert.;c;gesellschaft;Mensch und Gesellschaft;Bildung;-;
285;Frau Frost arbeitet als fest angestellte Mitarbeiterin in einem B\xfcro. Was muss sie nicht von ihrem Gehalt bezahlen?;Umsatzsteuer;Lohnsteuer;Beitr\xe4ge zur Arbeitslosenversicherung;Beitr\xe4ge zur Renten- und Krankenversicherung;a;politik;Politik in der Demokratie;Sozialsystem;-;
286;Welche Organisation in einer Firma hilft den Arbeitnehmern und Arbeitnehmerinnen bei Problemen mit dem Arbeitgeber / der Arbeitgeberin?;der Betriebsrat;der Betriebspr\xfcfer / die Betriebspr\xfcferin;die Betriebsgruppe;das Betriebsmanagement;a;politik;Politik in der Demokratie;Recht und Alltag;-;
287;Sie m\xf6chten bei einer Firma in Deutschland Ihr Arbeitsverh\xe4ltnis beenden. Was m\xfcssen Sie beachten?;die Gehaltszahlungen;die Arbeitszeit;die K\xfcndigungsfrist;die Versicherungspflicht;c;politik;Politik in der Demokratie;Recht und Alltag;-;
288;Bei welchem Amt muss man in Deutschland in der Regel seinen Hund anmelden?;beim Finanzamt;beim Einwohnermeldeamt;bei der Kommune (Stadt oder Gemeinde);beim Gesundheitsamt;c;politik;Politik in der Demokratie;Kommune;-;
289;Ein Mann mit dunkler Hautfarbe bewirbt sich um eine Stelle als Kellner in einem Restaurant in Deutschland. Was ist ein Beispiel f\xfcr Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil ...;seine Deutschkenntnisse zu gering sind.;er zu hohe Gehaltsvorstellungen hat.;er eine dunkle Haut hat.;er keine Erfahrungen im Beruf hat.;c;politik;Politik in der Demokratie;Grundrechte;-;
290;Sie haben in Deutschland einen Fernseher gekauft. Zu Hause packen Sie den Fernseher aus, doch er funktioniert nicht. Der Fernseher ist kaputt. Was k\xf6nnen Sie machen?;eine Anzeige schreiben;den Fernseher reklamieren;das Ger\xe4t ungefragt austauschen;die Garantie verl\xe4ngern;b;politik;Politik in der Demokratie;Recht und Alltag;-;
291;Warum muss man in Deutschland bei der Steuererkl\xe4rung aufschreiben, ob man zu einer Kirche geh\xf6rt oder nicht? Weil ...;das f\xfcr die Statistik in Deutschland wichtig ist.;es eine Kirchensteuer gibt, die an die Einkommen- und Lohnsteuer gekn\xfcpft ist.;man mehr Steuern zahlen muss, wenn man nicht zu einer Kirche geh\xf6rt.;die Kirche f\xfcr die Steuererkl\xe4rung verantwortlich ist.;b;politik;Politik in der Demokratie;Recht und Alltag;-;
292;Die Menschen in Deutschland leben nach dem Grundsatz der religi\xf6sen Toleranz. Was bedeutet das?;Es d\xfcrfen keine Moscheen gebaut werden.;Alle Menschen glauben an Gott.;Jeder kann glauben, was er m\xf6chte.;Der Staat entscheidet, an welchen Gott die Menschen glauben.;c;gesellschaft;Mensch und Gesellschaft;Religiöse Vielfalt;-;
293;Was ist in Deutschland ein Brauch an Ostern?;K\xfcrbisse vor die T\xfcr stellen;einen Tannenbaum schm\xfccken;Eier bemalen;Raketen in die Luft schie\xdfen;c;gesellschaft;Mensch und Gesellschaft;Interkulturelles Zusammenleben;-;
294;Pfingsten ist ein ...;christlicher Feiertag.;deutscher Gedenktag.;internationaler Trauertag.;bayerischer Brauch.;a;gesellschaft;Mensch und Gesellschaft;Religiöse Vielfalt;-;
